Model,Params,Class,Precision,Recall,F1-Score
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0,0.4117647058823529,0.7,0.5185185185185185
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,0.6666666666666666,0.3333333333333333,0.4444444444444444
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",2,0.4318181818181818,0.38,0.40425531914893614
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",3,0.47368421052631576,0.225,0.3050847457627119
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0,0.37037037037037035,0.6666666666666666,0.47619047619047616
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,0.75,0.3,0.42857142857142855
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",2,0.43243243243243246,0.32,0.367816091954023
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",3,0.30434782608695654,0.175,0.2222222222222222
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0,0.3482142857142857,0.65,0.45348837209302323
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,0.5555555555555556,0.16666666666666666,0.2564102564102564
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",2,0.5555555555555556,0.4,0.46511627906976744
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",3,0.43478260869565216,0.25,0.31746031746031744
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0,0.3523809523809524,0.6166666666666667,0.4484848484848485
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,0.6363636363636364,0.23333333333333334,0.34146341463414637
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",2,0.36,0.36,0.36
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",3,0.21428571428571427,0.075,0.1111111111111111
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0,0.38181818181818183,0.7,0.49411764705882355
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",1,1.0,0.13333333333333333,0.23529411764705882
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",2,0.3877551020408163,0.38,0.3838383838383838
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",3,0.29411764705882354,0.125,0.17543859649122806
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0,0.3944954128440367,0.7166666666666667,0.5088757396449705
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",1,0.6666666666666666,0.26666666666666666,0.38095238095238093
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",2,0.4883720930232558,0.42,0.45161290322580644
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",3,0.4375,0.175,0.25
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0,0.35185185185185186,0.6333333333333333,0.4523809523809524
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",1,0.7272727272727273,0.26666666666666666,0.3902439024390244
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",2,0.3902439024390244,0.32,0.3516483516483517
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",3,0.25,0.125,0.16666666666666666
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0,0.3963963963963964,0.7333333333333333,0.5146198830409356
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",1,0.5,0.16666666666666666,0.25
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",2,0.4444444444444444,0.32,0.37209302325581395
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",3,0.391304347826087,0.225,0.2857142857142857
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",4,1.0,1.0,1.0
